locationID,sensor,stationID,yCH1903+,xCH1903+,latDecimal,lonDecimal,masl,streetName,poleNumber,distance_to_building_m,shade,LCZ,installationDate,functionCheck,notes
A7,LoRain,034000F1,2677937.0,1250077.0,47.3969,8.47102,396,Vulkanstrasse/Juchhof 1,,55,,D(E/8),2019-06-20 14:00:00,ok,keine ewz Laterne…
A7,LoRain,0340AA49,2677937.0,1250077.0,47.3969,8.47102,396,Vulkanstrasse/Juchhof 1,,55,,D(E/8),2020-09-25 10:00:00,ok,"keine ewz Laterne…, Sommer 2022 zerstört (nicht ersetzt)"
A7,Barani,2212LH032,2677937.0,1250077.0,47.3969,8.47102,396,Vulkanstrasse/Juchhof 1,,55,,D(E/8),2023-03-14 11:30:00,ok,Barani neu montiert
A10,LoRain,034000D4,2678150.0,1248450.0,47.38224,8.47355,454,Friedhofstrasse,,5,,9,2019-06-20 14:50:00,ok,Übertragungsprobleme ab 2021
A10,LoRain,0340D1ED,2678150.0,1248450.0,47.38224,8.47355,454,Friedhofstrasse,,5,,9,2021-08-25 16:00:00,ok,immer noch Übertragungsproblem…
A10,Barani,2212LH038,2678150.0,1248450.0,47.38224,8.47355,454,Friedhofstrasse,,5,,9,2023-03-14 10:30:00,ok,LoRain ersetzt durch Barani
B3,LoRain,0340012F,2678244.0,1252038.0,47.4145,8.47543,489,Hurdäckerstrasse,5,0,,6,2019-06-20 11:15:00,ok,
B3,LoRain,034000F2,2678244.0,1252038.0,47.4145,8.47543,489,Hurdäckerstrasse,5,0,,6,2020-06-22 08:00:00,ok,
B6,LoRain,034000E3,2678392.0,1250579.0,47.40136,8.47713,396,Paul-Pflüger-Strasse,8,20,,9(8),2019-06-20 13:45:00,ok,
B9,LoRain,0340012A,2678611.0,1249077.0,47.38783,8.47977,409,Stampfenbrunnenstrasse,3,5,,5,2019-06-20 14:35:00,ok,"Reset, geputzt, jedoch Kommunikationsfehler, entfernt und ersetzt am 31.01.2024  mit Barani 2401LH039"
B9,Barani,2401LH039,2678611.0,1249077.0,47.38783,8.47977,409,Stampfenbrunnenstrasse,3,5,,5,2024-01-31 15:45:00,ok,
B12,LoRain,034000E1,2678750.0,1247612.0,47.37464,8.48135,451,Im Schaber,2,10,,6,2019-06-20 15:55:00,ok,
C5,LoRain,034000EE,2678868.0,1251141.0,47.40636,8.48354,451,Imbisbühlstrasse,41,15,,5,2019-06-20 11:55:00,ok,
C8,LoRain,03400125,2679002.0,1249649.0,47.39293,8.48505,397,Vulkanstrasse,57,30,,1(E/2),2019-06-20 14:15:00,ok,Seit 15. Juli verschwunden (neue Strassenlaterne)
