"fid";"SensorID";"Sensortyp";"magl";"Name";"StartDatum";"EndDatum";"Projekt";"SensorSerial";"N";"E";"masl"
"1";"BD-Helix-04";"Barani Helix";"2.7";"Borrweg Hagächer";"20.05.2021 00:00:00";#NV;"Kaltluft - Friesenberg";"2102LH005";"1245953";"2680378";"499"
"2";"BD-Wind-04";"Barani Wind";"2.7";"Borrweg Hagächer (BD)";"05.06.2021 00:00:00";"14.10.2021 00:00:00";"Kaltluft - Friesenberg";"2103LW046";"1245966";"2680401";"496"
"3";"2660";"DL Atmos-41";"3.5";"Zürich - Schulhaus Borrweg";"06.06.2020 00:00:00";#NV;"Kaltluft - Friesenberg";"2660";"1246042";"2680619";"476"
"4";"BD-Wind-02";"Barani Wind";"2.6";"Borrweg 80";"05.06.2021 00:00:00";#NV;"Kaltluft - Friesenberg";"2103LW038";"1246077";"2680542";"477"
"5";"BD-Wind-03";"Barani Wind";"2.4";"Rückseite Räffelstrasse 28";"10.06.2021 00:00:00";"14.10.2021 00:00:00";"Kaltluft - Friesenberg";"2103LW040";"1246427";"2681066";"430"
"6";"2813";"DL Atmos-22";"2.5";"Zürich - Borrweg Staffelhof";"05.06.2021 00:00:00";"14.10.2021 00:00:00";"Kaltluft - Friesenberg";"2813";"1246277";"2680777";"452"
"7";"2816";"DL Atmos-22";"2.5";"Zürich - Agnes-Robmann-Weg";"05.06.2021 00:00:00";"14.10.2021 00:00:00";"Kaltluft - Friesenberg";"2816";"1246396";"2681410";"427"
"8";"2815";"DL Atmos-22";"2.5";"Zürich - Bühlstrasse 39";"05.06.2021 00:00:00";"14.10.2021 00:00:00";"Kaltluft - Friesenberg";"2815";"1246711";"2681232";"429"
"9";"2621";"DL Atmos-22";"2.5";"Zürich - Wolfgrimweg";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2621";"1250396";"2681831";"497"
"10";"2622";"DL Atmos-22";"2.4";"Zürich - Waidstrasse 50";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2622";"1250221";"2681830";"469"
"11";"2623";"DL Atmos-22";"2";"Zürich - Wibichstrasse 90";"09.06.2021 00:00:00";"28.10.2021 00:00:00";"Kaltluft - Tièchestrasse";"2623";"1250272";"2681904";"472"
